sample.date,exp.plate,t.exp,time.hr,trt,bio.rep,veg.ml,spore.ml,cell.ml
MON21,plt1,T00,0,BUFFER,br1,3551333.333333333,1,3551334.333333333
MON21,plt1,T00,0,BUFFER,br2,3201000,1,3201001
MON21,plt1,T00,0,BUFFER,br3,3135833.3333333335,1,3135834.3333333335
MON21,plt1,T00,0,DSM,br1,3551333.333333333,1,3551334.333333333
MON21,plt1,T00,0,DSM,br2,3201000,1,3201001
MON21,plt1,T00,0,DSM,br3,3135833.3333333335,1,3135834.3333333335
MON21,plt1,T00,0,LYSATE,br1,3551333.333333333,1,3551334.333333333
MON21,plt1,T00,0,LYSATE,br2,3201000,1,3201001
MON21,plt1,T00,0,LYSATE,br3,3135833.3333333335,1,3135834.3333333335
MON21,plt1,T00,0,SPENT,br1,3551333.333333333,1,3551334.333333333
MON21,plt1,T00,0,SPENT,br2,3201000,1,3201001
MON21,plt1,T00,0,SPENT,br3,3135833.3333333335,1,3135834.3333333335
MON23,plt1,T02,2,BUFFER,br1,53324343.624193124,1,53324344.624193124
MON23,plt1,T02,2,BUFFER,br2,47357927.939453706,1,47357928.939453706
MON23,plt1,T02,2,BUFFER,br3,60661575.73878249,1,60661576.73878249
MON23,plt1,T02,2,DSM,br1,52738564.86090877,1,52738565.86090877
MON23,plt1,T02,2,DSM,br2,53093827.31064549,1,53093828.31064549
MON23,plt1,T02,2,DSM,br3,58947292.537294835,1,58947293.537294835
MON23,plt1,T02,2,LYSATE,br1,51697067.1220576,1,51697068.1220576
MON23,plt1,T02,2,LYSATE,br2,60106778.40066883,1,60106779.40066883
MON23,plt1,T02,2,LYSATE,br3,31066673.073696185,1,31066674.073696185
MON23,plt1,T02,2,SPENT,br1,55012505.76963081,1,55012506.76963081
MON23,plt1,T02,2,SPENT,br2,53002804.46697812,1,53002805.46697812
MON23,plt1,T02,2,SPENT,br3,68280084.64720881,1,68280085.64720881
TUE07,plt1,T10,10,BUFFER,br1,646072712.0969357,1,646072713.0969357
TUE07,plt1,T10,10,BUFFER,br2,278193175.37980294,1,278193176.37980294
TUE07,plt1,T10,10,BUFFER,br3,288345591.7522446,1,288345592.7522446
TUE07,plt1,T10,10,DSM,br1,298464018.8002621,1,298464019.8002621
TUE07,plt1,T10,10,DSM,br2,292413548.4929812,1,292413549.4929812
TUE07,plt1,T10,10,DSM,br3,247569938.54860348,1,247569939.54860348
TUE07,plt1,T10,10,LYSATE,br1,270685819.4718583,1,270685820.4718583
TUE07,plt1,T10,10,LYSATE,br2,130978333.33333334,1,130978334.33333334
TUE07,plt1,T10,10,LYSATE,br3,223663498.9726862,1,223663499.9726862
TUE07,plt1,T10,10,SPENT,br1,330280146.6904113,1,330280147.6904113
TUE07,plt1,T10,10,SPENT,br2,257751280.8530286,1,257751281.8530286
TUE07,plt1,T10,10,SPENT,br3,137858333.33333334,1,137858334.33333334
TUE09,plt1,T12,12,BUFFER,br1,271713562.793863,11911937.604514884,283625500.3983779
TUE09,plt1,T12,12,BUFFER,br2,247835679.20871577,14355540.721832186,262191219.93054795
TUE09,plt1,T12,12,BUFFER,br3,373497289.9080037,70973014.85767192,444470304.7656756
TUE09,plt1,T12,12,DSM,br1,258843309.63063636,9387620.119726487,268230929.75036284
TUE09,plt1,T12,12,DSM,br2,189251175.22999078,6862175.229705173,196113350.45969597
TUE09,plt1,T12,12,DSM,br3,190310704.87071687,13791958.759530697,204102663.63024756
TUE09,plt1,T12,12,LYSATE,br1,168105238.10163283,9458152.255598027,177563390.35723087
TUE09,plt1,T12,12,LYSATE,br2,167212504.66322115,6603154.782799897,173815659.44602105
TUE09,plt1,T12,12,LYSATE,br3,176973331.45469886,14660967.466759901,191634298.92145875
TUE09,plt1,T12,12,SPENT,br1,268476764.8461543,9544495.749962762,278021260.596117
TUE09,plt1,T12,12,SPENT,br2,221008852.9339211,8944546.82818751,229953399.76210862
TUE09,plt1,T12,12,SPENT,br3,246785651.8523384,25494837.95716626,272280489.8095047
TUE09,plt2,T00,0,BUFFER,br1,2916000,1,2916001
TUE09,plt2,T00,0,BUFFER,br2,2488000,1,2488001
TUE09,plt2,T00,0,BUFFER,br3,1848833.3333333335,1,1848834.3333333335
TUE09,plt2,T00,0,DSM,br1,2916000,1,2916001
TUE09,plt2,T00,0,DSM,br2,2488000,1,2488001
TUE09,plt2,T00,0,DSM,br3,1848833.3333333335,1,1848834.3333333335
TUE09,plt2,T00,0,LYSATE,br1,2916000,1,2916001
TUE09,plt2,T00,0,LYSATE,br2,2488000,1,2488001
TUE09,plt2,T00,0,LYSATE,br3,1848833.3333333335,1,1848834.3333333335
TUE09,plt2,T00,0,SPENT,br1,2916000,1,2916001
TUE09,plt2,T00,0,SPENT,br2,2488000,1,2488001
TUE09,plt2,T00,0,SPENT,br3,1848833.3333333335,1,1848834.3333333335
TUE11,plt1,T14,14,BUFFER,br1,517880177.88271403,321491998.6558529,839372176.538567
TUE11,plt1,T14,14,BUFFER,br2,422351674.50163305,107842233.4611086,530193907.9627416
TUE11,plt1,T14,14,BUFFER,br3,37150552.340005115,10326569.766442746,47477122.10644786
TUE11,plt1,T14,14,DSM,br1,437819564.9316509,102525832.86781457,540345397.7994654
TUE11,plt1,T14,14,DSM,br2,30819505.30213619,9337609.226966746,40157114.52910294
TUE11,plt1,T14,14,DSM,br3,27183996.635289744,7813053.66870483,34997050.30399457
TUE11,plt1,T14,14,LYSATE,br1,379667936.8535656,104431137.7245509,484099074.5781165
TUE11,plt1,T14,14,LYSATE,br2,238888276.13026842,77237067.36227828,316125343.4925467
TUE11,plt1,T14,14,LYSATE,br3,262551707.09085667,69246659.58704072,331798366.6778974
TUE11,plt1,T14,14,SPENT,br1,349135638.2372442,76631436.09501389,425767074.3322581
TUE11,plt1,T14,14,SPENT,br2,255929954.26935226,59070294.31590449,315000248.58525676
TUE11,plt1,T14,14,SPENT,br3,22010615.870306134,7732722.637082188,29743338.507388324
TUE11,plt2,T02,2,BUFFER,br1,46766377.32864353,1,46766378.32864353
TUE11,plt2,T02,2,BUFFER,br2,42732937.42868289,1,42732938.42868289
TUE11,plt2,T02,2,BUFFER,br3,45016573.36352123,1,45016574.36352123
TUE11,plt2,T02,2,DSM,br1,413854232.48905665,1,413854233.48905665
TUE11,plt2,T02,2,DSM,br2,49829885.0369661,1,49829886.0369661
TUE11,plt2,T02,2,DSM,br3,34350919.86923902,1,34350920.86923902
TUE11,plt2,T02,2,LYSATE,br1,42712253.64502195,1,42712254.64502195
TUE11,plt2,T02,2,LYSATE,br2,62478346.941872045,1,62478347.941872045
TUE11,plt2,T02,2,LYSATE,br3,54559711.92050986,1,54559712.92050986
TUE11,plt2,T02,2,SPENT,br1,45025438.25756453,1,45025439.25756453
TUE11,plt2,T02,2,SPENT,br2,59242768.329832986,1,59242769.329832986
TUE11,plt2,T02,2,SPENT,br3,58567506.37083013,1,58567507.37083013
TUE13,plt1,T16,16,BUFFER,br1,446066549.731089,306556211.9489325,752622761.6800215
TUE13,plt1,T16,16,BUFFER,br2,480103987.3954672,278372814.53341794,758476801.9288852
TUE13,plt1,T16,16,BUFFER,br3,401168462.31067646,296910373.6294125,698078835.940089
TUE13,plt1,T16,16,DSM,br1,628595538.1688015,739042957.2499456,1367638495.4187472
TUE13,plt1,T16,16,DSM,br2,458008965.1595185,352619073.8537856,810628039.013304
TUE13,plt1,T16,16,DSM,br3,480021188.1865418,367153329.88663137,847174518.0731732
TUE13,plt1,T16,16,LYSATE,br1,512740224.4605131,332279864.674209,845020089.1347221
TUE13,plt1,T16,16,LYSATE,br2,396853633.2873333,313747569.8306341,710601203.1179674
TUE13,plt1,T16,16,LYSATE,br3,288160632.74421805,191994960.0836844,480155592.82790244
TUE13,plt1,T16,16,SPENT,br1,470473891.8819277,287088022.06083345,757561913.9427612
TUE13,plt1,T16,16,SPENT,br2,323648808.98886514,233409314.4238928,557058123.4127579
TUE13,plt1,T16,16,SPENT,br3,287288317.8702825,287982769.5090494,575271087.3793318
TUE13,plt2,T04,4,BUFFER,br1,514703397.6584096,1,514703398.6584096
TUE13,plt2,T04,4,BUFFER,br2,508181626.92628825,1,508181627.92628825
TUE13,plt2,T04,4,BUFFER,br3,698306837.9167318,1,698306838.9167318
TUE13,plt2,T04,4,DSM,br1,377467948.33633393,1,377467949.33633393
TUE13,plt2,T04,4,DSM,br2,345502155.0889487,1,345502156.0889487
TUE13,plt2,T04,4,DSM,br3,662986726.1665745,1,662986727.1665745
TUE13,plt2,T04,4,LYSATE,br1,402005629.639658,1,402005630.639658
TUE13,plt2,T04,4,LYSATE,br2,398611800.0978532,1,398611801.0978532
TUE13,plt2,T04,4,LYSATE,br3,614647468.5856438,1,614647469.5856438
TUE13,plt2,T04,4,SPENT,br1,379149328.601352,1,379149329.601352
TUE13,plt2,T04,4,SPENT,br2,404037786.3780246,1,404037787.3780246
TUE13,plt2,T04,4,SPENT,br3,650852982.8626955,1,650852983.8626955
TUE15,plt1,T18,18,BUFFER,br1,389637264.19014376,393698578.908003,783335843.0981467
TUE15,plt1,T18,18,BUFFER,br2,422008658.73104167,415587315.0517299,837595973.7827716
TUE15,plt1,T18,18,BUFFER,br3,471318881.10269725,711826985.7725363,1183145866.8752337
TUE15,plt1,T18,18,DSM,br1,475316835.061591,577227927.8859528,1052544762.9475439
TUE15,plt1,T18,18,DSM,br2,497612015.4751537,674540209.9402844,1172152225.4154382
TUE15,plt1,T18,18,DSM,br3,481397324.07266164,1046363739.1094365,1527761063.1820982
TUE15,plt1,T18,18,LYSATE,br1,413827024.9873127,429168284.7850002,842995309.7723129
TUE15,plt1,T18,18,LYSATE,br2,275109058.77600485,508134235.5079782,783243294.283983
TUE15,plt1,T18,18,LYSATE,br3,482923910.57047117,655264878.219033,1138188788.789504
TUE15,plt1,T18,18,SPENT,br1,295303955.1507776,436719430.8352758,732023385.9860535
TUE15,plt1,T18,18,SPENT,br2,384710070.514137,387204996.026792,771915066.5409291
TUE15,plt1,T18,18,SPENT,br3,468796634.24309814,1078762686.8082042,1547559321.0513024
TUE15,plt2,T06,6,BUFFER,br1,537961084.964815,1,537961085.964815
TUE15,plt2,T06,6,BUFFER,br2,382271301.23681843,1,382271302.23681843
TUE15,plt2,T06,6,BUFFER,br3,337761219.8348597,1,337761220.8348597
TUE15,plt2,T06,6,DSM,br1,347236491.1344178,1,347236492.1344178
TUE15,plt2,T06,6,DSM,br2,489284391.2255323,1,489284392.2255323
TUE15,plt2,T06,6,DSM,br3,399098725.6010026,1,399098726.6010026
TUE15,plt2,T06,6,LYSATE,br1,397587998.87476355,1,397587999.87476355
TUE15,plt2,T06,6,LYSATE,br2,321648682.1639107,1,321648683.1639107
TUE15,plt2,T06,6,LYSATE,br3,291084086.6381623,1,291084087.6381623
TUE15,plt2,T06,6,SPENT,br1,455273332.5057064,1,455273333.5057064
TUE15,plt2,T06,6,SPENT,br2,340765774.69902074,1,340765775.69902074
TUE15,plt2,T06,6,SPENT,br3,348754267.2308154,1,348754268.2308154
TUE17,plt1,T20,20,BUFFER,br1,369924826.1457003,1090415447.127884,1460340273.2735841
TUE17,plt1,T20,20,BUFFER,br2,317422738.37514913,863252570.0103556,1180675308.3855047
TUE17,plt1,T20,20,BUFFER,br3,271794309.05289274,797924357.4737136,1069718666.5266063
TUE17,plt1,T20,20,DSM,br1,324024467.7649891,792037190.6266456,1116061658.3916347
TUE17,plt1,T20,20,DSM,br2,244853367.9840418,651241208.4139936,896094576.3980354
TUE17,plt1,T20,20,DSM,br3,242483327.83488214,617291307.3086486,859774635.1435307
TUE17,plt1,T20,20,LYSATE,br1,244791702.05589896,755906629.0494514,1000698331.1053503
TUE17,plt1,T20,20,LYSATE,br2,246669690.5835623,609331649.4266698,856001340.0102322
TUE17,plt1,T20,20,LYSATE,br3,227522214.61458516,607181483.6401223,834703698.2547075
TUE17,plt1,T20,20,SPENT,br1,281921985.7141422,692249231.9684952,974171217.6826375
TUE17,plt1,T20,20,SPENT,br2,245920778.90657777,587848251.1784481,833769030.0850258
TUE17,plt1,T20,20,SPENT,br3,179862596.3991718,544738650.6622305,724601247.0614023
TUE17,plt2,T08,8,BUFFER,br1,316454796.37161005,1,316454797.37161005
TUE17,plt2,T08,8,BUFFER,br2,241542026.3585821,1,241542027.3585821
TUE17,plt2,T08,8,BUFFER,br3,253810828.86602455,1,253810829.86602455
TUE17,plt2,T08,8,DSM,br1,8240227.868650444,1,8240228.868650444
TUE17,plt2,T08,8,DSM,br2,167650531.75073063,1,167650532.75073063
TUE17,plt2,T08,8,DSM,br3,293182685.56806815,1,293182686.56806815
TUE17,plt2,T08,8,LYSATE,br1,156625570.53537732,1,156625571.53537732
TUE17,plt2,T08,8,LYSATE,br2,207652330.73179203,1,207652331.73179203
TUE17,plt2,T08,8,LYSATE,br3,220177491.3368174,1,220177492.3368174
TUE17,plt2,T08,8,SPENT,br1,193316078.47924364,1,193316079.47924364
TUE17,plt2,T08,8,SPENT,br2,228475314.79468197,1,228475315.79468197
TUE17,plt2,T08,8,SPENT,br3,208495189.09210783,1,208495190.09210783
TUE19,plt1,T22,22,BUFFER,br1,278606685.28490174,1041112559.7164547,1319719245.0013566
TUE19,plt1,T22,22,BUFFER,br2,208417834.23519337,729397843.0817848,937815677.3169782
TUE19,plt1,T22,22,BUFFER,br3,191984432.0883252,813719885.5640203,1005704317.6523454
TUE19,plt1,T22,22,DSM,br1,270510671.301077,1113500667.9175475,1384011339.2186246
TUE19,plt1,T22,22,DSM,br2,238739360.93316588,1060983198.857938,1299722559.7911038
TUE19,plt1,T22,22,DSM,br3,271652528.7016294,973083483.7075512,1244736012.4091806
TUE19,plt1,T22,22,LYSATE,br1,327853871.523162,996172154.9115677,1324026026.4347296
TUE19,plt1,T22,22,LYSATE,br2,252225293.0372088,793798529.8206726,1046023822.8578814
TUE19,plt1,T22,22,LYSATE,br3,177353116.06015372,800708157.0911359,978061273.1512896
TUE19,plt1,T22,22,SPENT,br1,238069750.91604698,951143812.6414485,1189213563.5574956
TUE19,plt1,T22,22,SPENT,br2,210005771.53915727,737376785.7572343,947382557.2963916
TUE19,plt1,T22,22,SPENT,br3,178524761.95380223,812382961.7378671,990907723.6916693
TUE19,plt2,T10,10,BUFFER,br1,204079233.25877765,1,204079234.25877765
TUE19,plt2,T10,10,BUFFER,br2,207279162.23232687,1,207279163.23232687
TUE19,plt2,T10,10,BUFFER,br3,229141020.53493583,1,229141021.53493583
TUE19,plt2,T10,10,DSM,br1,192257663.13543412,5259211.953842182,197516875.0892763
TUE19,plt2,T10,10,DSM,br2,163060924.5591734,1,163060925.5591734
TUE19,plt2,T10,10,DSM,br3,227288941.01506782,1,227288942.01506782
TUE19,plt2,T10,10,LYSATE,br1,144708090.52004838,1,144708091.52004838
TUE19,plt2,T10,10,LYSATE,br2,233713721.18483084,1,233713722.18483084
TUE19,plt2,T10,10,LYSATE,br3,196541780.8496002,1,196541781.8496002
TUE19,plt2,T10,10,SPENT,br1,201658208.78270465,1,201658209.78270465
TUE19,plt2,T10,10,SPENT,br2,195900155.6191402,1,195900156.6191402
TUE19,plt2,T10,10,SPENT,br3,210481174.50126553,7562615.022503025,218043789.52376854
TUE21,plt1,T24,24,BUFFER,br1,245072709.53910628,982047897.9975278,1227120607.5366342
TUE21,plt1,T24,24,BUFFER,br2,215266159.33465227,952397317.0399215,1167663476.3745737
TUE21,plt1,T24,24,BUFFER,br3,252490163.69553602,1248990017.9725068,1501480181.6680427
TUE21,plt1,T24,24,DSM,br1,191465397.62582904,973077810.7899857,1164543208.4158146
TUE21,plt1,T24,24,DSM,br2,163927928.66892147,981964398.7242299,1145892327.3931513
TUE21,plt1,T24,24,DSM,br3,220203360.81180447,1195667936.009591,1415871296.8213956
TUE21,plt1,T24,24,LYSATE,br1,227468900.25492916,848629715.3828777,1076098615.637807
TUE21,plt1,T24,24,LYSATE,br2,237975643.75922585,913618934.3705335,1151594578.1297593
TUE21,plt1,T24,24,LYSATE,br3,249105816.6577584,1276565803.3763692,1525671620.0341277
TUE21,plt1,T24,24,SPENT,br1,238477167.4950087,861037041.7569346,1099514209.2519433
TUE21,plt1,T24,24,SPENT,br2,183484830.01427257,804699153.4301174,988183983.4443899
TUE21,plt1,T24,24,SPENT,br3,222773884.8236004,1076509995.5167365,1299283880.3403368
TUE21,plt2,T12,12,BUFFER,br1,199396755.0048774,7295543.216455207,206692298.2213326
TUE21,plt2,T12,12,BUFFER,br2,242671571.72206622,17618218.960475232,260289790.68254146
TUE21,plt2,T12,12,BUFFER,br3,329465263.30396426,95972992.66274652,425438255.9667108
TUE21,plt2,T12,12,DSM,br1,179736522.33311492,8944405.124972355,188680927.45808727
TUE21,plt2,T12,12,DSM,br2,155752907.09029958,9040753.419792894,164793660.51009247
TUE21,plt2,T12,12,DSM,br3,143522844.79001814,10711701.415170074,154234546.2051882
TUE21,plt2,T12,12,LYSATE,br1,118318333.33333334,5011666.666666667,123330000.00000001
TUE21,plt2,T12,12,LYSATE,br2,156481199.33401585,7582175.859649675,164063375.19366553
TUE21,plt2,T12,12,LYSATE,br3,156687933.05021816,10646463.977483641,167334397.0277018
TUE21,plt2,T12,12,SPENT,br1,156723416.01127708,7894526.037530001,164617942.04880708
TUE21,plt2,T12,12,SPENT,br2,167573920.16462556,9426586.386564732,177000506.5511903
TUE21,plt2,T12,12,SPENT,br3,218874875.39345807,17831128.77936294,236706004.17282102
WED09,plt2,T24,24,BUFFER,br1,212820256.20496398,1167941281.431612,1380761537.636576
WED09,plt2,T24,24,BUFFER,br2,201987451.53991044,1125956343.8828673,1327943795.4227777
WED09,plt2,T24,24,BUFFER,br3,200141354.7114414,1144743497.1098266,1344884851.821268
WED09,plt2,T24,24,DSM,br1,197423981.0140565,886560750.1097494,1083984731.123806
WED09,plt2,T24,24,DSM,br2,154589244.6415282,572502083.4298503,727091328.0713785
WED09,plt2,T24,24,DSM,br3,170539909.89599878,528512049.566183,699051959.4621818
WED09,plt2,T24,24,LYSATE,br1,221012553.8673195,937861695.0249863,1158874248.8923059
WED09,plt2,T24,24,LYSATE,br2,168815879.17140964,552028547.9089091,720844427.0803187
WED09,plt2,T24,24,LYSATE,br3,195800601.79384768,705615312.8798255,901415914.6736732
WED09,plt2,T24,24,SPENT,br1,199478001.57753098,818807736.3979669,1018285737.9754978
WED09,plt2,T24,24,SPENT,br2,189812434.58237386,632241601.2880958,822054035.8704697
WED09,plt2,T24,24,SPENT,br3,150857597.01621664,478247618.50803983,629105215.5242565
WED11,plt2,T26,26,BUFFER,br1,211102345.02096367,1143139976.01633,1354242321.0372937
WED11,plt2,T26,26,BUFFER,br2,203597240.47306177,1173948751.6425757,1377545992.1156375
WED11,plt2,T26,26,BUFFER,br3,167825823.6608752,1565703506.1158772,1733529329.7767525
WED11,plt2,T26,26,DSM,br1,154468198.86722907,574385834.778564,728854033.6457931
WED11,plt2,T26,26,DSM,br2,168452011.5275697,742993299.581167,911445311.1087368
WED11,plt2,T26,26,DSM,br3,161123532.94795343,1250377787.3037696,1411501320.251723
WED11,plt2,T26,26,LYSATE,br1,185473620.46500432,608513736.8502903,793987357.3152946
WED11,plt2,T26,26,LYSATE,br2,173059813.3815335,705200236.8720179,878260050.2535514
WED11,plt2,T26,26,LYSATE,br3,191004614.79893428,1364512149.4339948,1555516764.232929
WED11,plt2,T26,26,SPENT,br1,169015309.80201823,621571336.6735003,790586646.4755185
WED11,plt2,T26,26,SPENT,br2,172598536.19894093,723060127.0276136,895658663.2265546
WED11,plt2,T26,26,SPENT,br3,192005911.2706216,1149711243.9088492,1341717155.1794708
WED13,plt2,T28,28,BUFFER,br1,193969538.59671444,1091603195.373662,1285572733.9703765
WED13,plt2,T28,28,BUFFER,br2,191721450.44504952,762540841.3060749,954262291.7511244
WED13,plt2,T28,28,BUFFER,br3,150282199.88297325,654997287.3987299,805279487.2817032
WED13,plt2,T28,28,DSM,br1,200746619.06012595,1645922079.3915877,1846668698.4517136
WED13,plt2,T28,28,DSM,br2,127600249.37041883,945586231.5170444,1073186480.8874632
WED13,plt2,T28,28,DSM,br3,159402785.1737103,1166723480.8754632,1326126266.0491736
WED13,plt2,T28,28,LYSATE,br1,173899447.38567317,1003005108.1053531,1176904555.4910264
WED13,plt2,T28,28,LYSATE,br2,174630143.4083525,622698410.1806376,797328553.5889901
WED13,plt2,T28,28,LYSATE,br3,128843209.79907647,513529879.8421402,642373089.6412166
WED13,plt2,T28,28,SPENT,br1,132512409.56711766,898025239.3670214,1030537648.9341391
WED13,plt2,T28,28,SPENT,br2,157886877.7342373,573188364.3299952,731075242.0642325
WED13,plt2,T28,28,SPENT,br3,149182553.5203551,632193606.5126414,781376160.0329965
WED15,plt2,T30,30,BUFFER,br1,207694168.88458747,776006143.8226157,983700312.7072031
WED15,plt2,T30,30,BUFFER,br2,167489374.70224643,805995552.1226847,973484926.8249311
WED15,plt2,T30,30,BUFFER,br3,133700676.60289574,1133527324.62996,1267228001.2328558
WED15,plt2,T30,30,DSM,br1,153468529.11268407,1178681424.1873503,1332149953.3000343
WED15,plt2,T30,30,DSM,br2,99859565.37178639,852405783.7744796,952265349.146266
WED15,plt2,T30,30,DSM,br3,149503506.60143104,1723114103.7764645,1872617610.3778956
WED15,plt2,T30,30,LYSATE,br1,153208581.68081397,625146293.039686,778354874.7205
WED15,plt2,T30,30,LYSATE,br2,174093620.87169975,709435587.3488665,883529208.2205663
WED15,plt2,T30,30,LYSATE,br3,145500208.92645788,1331678674.1067142,1477178883.0331721
WED15,plt2,T30,30,SPENT,br1,155428834.6349569,602000622.1979783,757429456.8329351
WED15,plt2,T30,30,SPENT,br2,197634361.48874915,834458126.9161069,1032092488.4048561
WED15,plt2,T30,30,SPENT,br3,131267236.22298858,1134695948.1750033,1265963184.397992
